"","My_Rivers.Runoff.filter.Accurate_scale..Shore.....Inshore...Volume"
"1",5.05727529854019e-06
"2",5.48347904225317e-06
"3",7.59398322149811e-06
"4",1.06100555509258e-05
"5",7.14199593003861e-06
"6",6.90925993783733e-06
"7",7.18649211684042e-06
"8",7.53679836092712e-06
"9",7.487271603783e-06
"10",6.00022577157553e-06
"11",5.33663161504794e-06
"12",4.27321818113042e-06
