Gear_name,Gear_code,Activity_.s.m2.d.,Plough_rate_.m2.s.
Purse_Seine,PS,6.50E-08,0
Longlines,LL,4.12E-07,0
Illegal_longlines,ILL,0.00E+00,0
Otter_trawls,OT,4.35E-08,17.1
Artisanal_handlines,HL,4.01E-08,0
Hand-gathering_and_pots,HP,7.32E-11,0
NA,NA,0,0
NA,NA,0,0
NA,NA,0,0
NA,NA,0,0
NA,NA,0,0
NA,NA,0,0
