Gear_name,Gear_code,Multiplier_to_be_applied_to_activity
Purse_Seine,PS,1
Longlines,LL,1
Illegal_longlines,ILL,1
Otter_trawls,OT,1
Artisanal_handlines,HL,1
Hand-gathering_and_pots,HP,1
NA,NA,1
NA,NA,1
NA,NA,1
NA,NA,1
NA,NA,1
NA,NA,1
